City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Santa Isabel Do Rio Negro,BR,74.52,broken clouds,-0.4139,-65.0192,Hotel GSA
487,Telde,ES,71.82,broken clouds,27.9924,-15.4192,El Baladero Apartamentos
495,Lishui,CN,82.96,broken clouds,28.4604,119.9103,Bayi Hotel
497,Lexington,US,71.74,broken clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
499,Chaiyaphum,TH,85.05,broken clouds,15.75,102.0,BBM Grand Hotel
500,Gainesville,US,81.09,broken clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
502,Namatanai,PG,82.63,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
508,Magog,CA,75.42,broken clouds,45.2668,-72.1491,Auberge du Grand Lac
511,Chuzhou,CN,88.07,broken clouds,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
512,Mogadishu,SO,78.42,broken clouds,2.0371,45.3438,Hotel Juba
515,Les Cayes,HT,77.77,broken clouds,18.2,-73.75,Villa Orphee
516,Shache,CN,84.85,broken clouds,38.4167,77.2406,Delong Hotel
518,Moerai,PF,72.37,broken clouds,-22.4333,-151.3333,Le Manotel
519,Spring Valley,US,86.92,broken clouds,36.108,-115.245,Westgate Flamingo Bay Resort
524,Kirovskiy,RU,81.28,broken clouds,45.0917,133.5136,"Uyut, Gostinitsa"
525,Salalah,OM,82.4,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
527,Kuah,MY,87.78,broken clouds,6.3265,99.8432,Azio Hotel
528,Pasighat,IN,76.91,broken clouds,28.0667,95.3333,Siang Guest House
533,Acapulco,MX,81.59,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
535,Bintulu,MY,84.61,broken clouds,3.1667,113.0333,900 Boutique INN
537,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
539,Majene,ID,85.69,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
541,Palmer,US,73.62,broken clouds,42.1584,-72.3287,Wedgewood Motel
544,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
546,Kismayo,SO,75.0,broken clouds,-0.3582,42.5454,Agan-Hotel
547,Aksu,CN,79.54,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
548,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
549,Myitkyina,MM,80.64,broken clouds,25.3833,97.4,Shwe Phyu Hotel
552,Sarangani,PH,83.66,broken clouds,5.4033,125.4636,Ballistic Islet
554,Moctezuma,MX,84.34,broken clouds,29.8,-109.6667,Hotel Lobohombo
556,Lipari,IT,70.95,broken clouds,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
557,Makakilo City,US,82.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
559,Itaituba,BR,77.04,broken clouds,-4.2761,-55.9836,Hotel Campos
563,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
566,Kishi,NG,71.38,broken clouds,9.0833,3.85,NCCF Kishi
571,Point Fortin,TT,80.15,broken clouds,10.1833,-61.6833,Jus Les' Suites
577,Fare,PF,79.79,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
579,Garissa,KE,73.29,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
591,Chegdomyn,RU,84.67,broken clouds,51.1167,133.0167,Gostinitsa Bureya
592,Humaita,BR,76.6,broken clouds,-7.5061,-63.0208,Corrêa Hotel
594,Guayaramerin,BO,71.19,broken clouds,-10.8368,-65.3614,Hostal Funf
597,Weston,US,81.01,broken clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
598,Dawei,MM,76.68,broken clouds,14.0833,98.2,Hotel Dawei
604,Yarmouth,US,75.24,broken clouds,41.7057,-70.2286,Blue Rock Resort
605,Miguel Alves,BR,74.01,broken clouds,-4.1656,-42.8953,PAIN POUSADA E RESTAURANTE
607,Chaohu,CN,87.04,broken clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
608,Haicheng,CN,82.74,broken clouds,40.8516,122.7475,Haicheng Grand Hotel
609,Sumenep,ID,85.93,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
611,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
622,Marsa Matruh,EG,75.4,broken clouds,31.3525,27.2453,Beau Site
625,Vavoua,CI,70.77,broken clouds,7.3819,-6.4778,Hotel Le Peuple
627,Borazjan,IR,85.33,broken clouds,29.2666,51.2159,شرکت زرمهریار شعبه سوم
628,Qingdao,CN,78.4,broken clouds,36.0986,120.3719,东晖国际大酒店餐厅
629,Rio Verde De Mato Grosso,BR,72.99,broken clouds,-18.9181,-54.8442,Hotel Valência
642,Paka,MY,87.73,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
643,Iralaya,HN,80.17,broken clouds,15.0,-83.2333,Iglesia morava renovada
644,Abu Zabad,SD,83.23,broken clouds,12.35,29.25,حامد محمد نور
646,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
648,Bowen,AU,75.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
650,Nizwa,OM,86.36,broken clouds,22.9333,57.5333,Orient Apartments
651,Ashqelon,IL,74.41,broken clouds,31.6693,34.5715,Leonardo Ashkelon
