City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,East London,ZA,-33.0153,27.9116,63.91,43,87,5.26,broken clouds
188,Arauca,CO,7.0847,-70.7591,72.86,98,98,3.83,broken clouds
189,Rocha,UY,-34.4833,-54.3333,56.62,95,53,10.25,broken clouds
190,Karabulak,RU,43.3036,44.8964,57.76,74,66,2.75,broken clouds
191,Bara,NG,10.3744,10.7288,75.47,81,99,8.1,broken clouds
192,Semnan,IR,35.5729,53.3971,79.97,23,3,4.83,broken clouds
193,Pevek,RU,69.7008,170.3133,32.77,93,100,11.39,broken clouds
194,Yellowknife,CA,62.456,-114.3525,50.56,57,20,3.44,broken clouds
195,Sao Filipe,CV,14.8961,-24.4956,73.78,83,1,7.45,broken clouds
196,Iqaluit,CA,63.7506,-68.5145,33.53,74,75,1.99,broken clouds
197,Mackenzie,CA,55.2999,-123.1698,61.02,33,40,5.75,broken clouds
198,Souillac,MU,-20.5167,57.5167,70.18,88,75,14.12,broken clouds
199,Carnarvon,AU,-24.8667,113.6333,62.67,77,40,24.16,broken clouds
200,Obo,CF,5.3998,26.4869,67.26,88,100,1.63,broken clouds
201,Muroto,JP,33.2833,134.15,78.84,71,100,11.97,broken clouds
202,Longyan,CN,25.1072,117.0225,84.13,70,100,3.15,broken clouds
203,Upernavik,GL,72.7868,-56.1549,36.7,82,1,6.91,broken clouds
204,Touros,BR,-5.1989,-35.4608,76.1,90,35,10.74,broken clouds
205,San Cristobal,VE,7.7669,-72.225,68.18,98,92,2.3,broken clouds
206,Ust-Kan,RU,50.9276,84.761,64.83,53,60,2.77,broken clouds
207,Jibuti,DJ,11.5,42.5,85.12,35,2,2.21,broken clouds
208,Adrar,MR,20.5022,-10.0711,94.98,11,0,6.78,broken clouds
209,Bilasipara,IN,26.232,90.2347,83.23,78,72,4.32,broken clouds
210,Severo-Kurilsk,RU,50.6789,156.125,47.62,87,39,6.15,broken clouds
211,Linxi,CN,39.7,118.4333,85.66,36,99,10.13,broken clouds
212,Ngunguru,NZ,-35.6167,174.5,65.16,86,1,13.04,broken clouds
213,Zambezi,ZM,-13.5432,23.1047,50.99,73,69,5.28,broken clouds
214,Salinopolis,BR,-0.6136,-47.3561,77.43,88,94,6.29,broken clouds
215,Kholm,RU,59.2667,32.85,56.08,72,94,3.33,broken clouds
216,Lazaro Cardenas,MX,17.9583,-102.2,82.72,74,97,5.39,broken clouds
217,Mahibadhoo,MV,3.7833,72.9667,83.37,71,64,15.08,broken clouds
218,Faanui,PF,-16.4833,-151.75,80.2,78,75,14.74,broken clouds
219,Sandnessjoen,NO,66.0217,12.6316,53.58,84,71,7.49,broken clouds
220,Fortuna,US,40.5982,-124.1573,60.48,66,1,1.99,broken clouds
221,Nankana Sahib,PK,31.4475,73.6972,95.25,21,0,12.1,broken clouds
222,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,93,79,6.33,broken clouds
223,Sinnamary,GF,5.3833,-52.95,77.27,91,100,8.93,broken clouds
224,Cetateni,RO,45.2,25.1833,45.09,89,6,6.67,broken clouds
225,Dubai,AE,25.2582,55.3047,89.22,79,20,5.01,broken clouds
226,Mykolayivka,UA,47.5414,30.7561,58.39,90,12,7.27,broken clouds
227,Yarada,IN,17.65,83.2667,89.92,66,40,13.89,broken clouds
228,Joensuu,FI,62.6012,29.7632,54.27,62,0,3.0,broken clouds
229,Kolaras,IN,25.2333,77.6,95.14,35,17,17.05,broken clouds
230,Basco,PH,20.4487,121.9702,82.26,80,90,8.77,broken clouds
231,Hirara,JP,24.8,125.2833,87.66,79,75,12.66,broken clouds
232,Yerbogachen,RU,61.2767,108.0108,57.56,36,14,11.54,broken clouds
233,Mehamn,NO,71.0357,27.8492,49.17,79,100,4.03,broken clouds
234,Etaples,FR,50.5219,1.6332,55.6,100,90,2.3,broken clouds
